"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT08","WT09"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-26","2.5"," 0800","0.0",,,,"7.8","-2.7","   90","   90","5.4","8.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-27","5.4"," 1941","2.0",,,,"15.0","-0.5","  200","  190","9.4","14.8",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-28","5.1"," 0510","0.3",,,,"18.3","1.1","  240","  210","8.1","12.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-29","3.7"," 2329","9.9",,,,"12.8","3.9","   30","   40","7.2","8.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-30","6.2"," 1500","5.6",,,,"6.7","-0.5","   30","   30","11.2","15.7",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-31","5.6"," 1312","0.0",,,,"4.4","-4.3","  320","  320","9.8","13.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-01","5.7"," 1321","0.0",,,,"9.4","-2.7","  200","  190","10.7","17.0",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-02","6.4"," 1318","0.0",,,,"13.9","3.3","  260","  240","11.2","15.7",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-03","4.1"," 1925","0.5",,,,"15.0","2.8","  250","  240","9.4","13.0",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-04","4.7"," 1714","7.6",,,,"8.9","4.4","  100","   80","8.9","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-05","1.8"," 0152","0.0",,,,"13.9","5.0","  130","  130","5.8","7.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-06","2.5"," 1526","0.0",,,,"18.3","5.0","  110","   80","6.7","9.4",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-07","4.5"," 1849","2.0",,,,"21.1","11.7","  270","  260","10.7","15.2",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-08","3.7"," 2032","0.0",,,,"23.3","11.7","  270","  210","7.6","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-09","5.4"," 2028","0.0",,,,"20.0","5.0","   20","   20","13.9","17.4",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-10","7.7"," 2250","1.5",,,,"5.6","2.2","   60","   50","13.0","17.0",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-11","6.2"," 0038","8.6",,,,"16.1","3.9","   70","   80","11.6","16.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-12","8.3"," 1156","3.3",,,,"12.2","3.9","  220","  230","14.8","21.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-13","5.9"," 1249","0.0",,,,"12.2","2.8","  260","  270","10.7","13.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-14","7.4"," 1238","11.4",,,,"4.4","0.6","   60","   40","12.5","16.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-15","3.8"," 1630","0.0",,,,"12.2","-0.5","  210","  210","7.2","10.7",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-16","4.6"," 0409","0.0",,,,"23.9","8.3","   40","  210","8.1","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-17","5.4"," 1647","0.0",,,,"25.0","8.9","  210","  170","11.2","16.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-18","5.4"," 2349","13.2",,,,"18.3","6.7","  360","   10","9.8","13.4",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-19","9.8"," 1345","0.0",,,,"9.4","5.0","   20","   20","14.8","21.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-20","6.4"," 1153","0.0",,,,"18.3","5.0","   10","   10","11.6","16.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-21","3.7"," 1716","0.0",,,,"25.6","7.2","  180","  170","7.6","14.8",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-22","6.0"," 1310","4.8",,,,"26.7","14.4","  210","  210","10.7","17.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-23","3.7"," 0110","0.0",,,,"18.9","10.0","  270","  280","10.3","13.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-24","2.6"," 1538","0.0",,,,"18.3","7.2","  120","  130","6.3","8.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-25","3.0"," 2302","0.8",,,,"18.9","8.3","  350","   10","13.4","18.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-26","7.0"," 0028","0.8",,,,"18.3","10.0","  330","  340","12.5","19.2",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-27","5.7"," 1840","21.6",,,,"10.6","0.6","   30","   10","10.7","15.2",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-28","5.0"," 1300","0.0",,,,"11.1","1.1","   70","   80","8.1","12.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-29","4.7"," 0743","29.0",,,,"11.7","6.1","  160","  180","12.5","18.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-30","5.0"," 1642","32.8",,,,"10.0","4.4","   90","   80","9.4","13.0",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-01","4.3"," 0836","15.5",,,,"16.1","7.2","  240","  230","10.7","16.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-02","3.8"," 0956","8.1",,,,"9.4","6.1","   70","   70","8.1","10.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-03","5.1"," 1507","0.5",,,,"13.9","6.7","  360","  360","8.1","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-04","2.9"," 0934","0.0",,,,"16.1","5.6","   40","   40","6.7","8.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-05","2.8"," 1210","0.0",,,,"23.3","6.7","  270","  280","7.2","10.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-06","4.1"," 0846","1.0",,,,"22.2","8.3","  300","  300","8.1","10.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-07","5.6"," 1728","11.4",,,,"10.0","7.2","   60","   20","9.8","12.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-08","5.6"," 0842","9.7",,,,"24.4","8.3","  140","   90","9.8","14.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-09","5.1"," 1316",,,,,"20.6","9.4","  250","  260","10.7","14.8",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-10","4.0"," 1309","0.0",,,,"13.3","7.2","  320","   80","7.2","9.8",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-11","3.8"," 1803","1.8",,,,"12.2","7.2","   60","   70","7.6","9.8",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-12","5.0"," 0749","2.0",,,,"11.7","6.1","   20","   80","7.6","10.7",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-13","3.6"," 1030","0.0",,,,"16.1","6.1","   50","   50","7.6","10.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-14","2.3"," 1750","0.0",,,,"21.1","6.1","  120","  100","6.7","9.8",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-15","1.7"," 1659","0.0",,,,"25.0","11.1","   70","   70","5.4","6.7",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-16","4.0"," 1124","3.6",,,,"24.4","15.0","  340","  340","11.2","16.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-17","5.1"," 0653","6.9",,,,"20.6","7.8","   30","   40","10.3","13.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-18","3.5"," 1323","10.7",,,,"28.3","7.2","  260","  240","14.8","21.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-19","7.2"," 1353","8.6",,,,"23.9","11.7","  260","  260","13.4","18.8",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-20","4.6"," 0145","0.0",,,,"13.9","8.3","  310","  280","8.1","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-21","6.4"," 1403","4.8",,,,"13.3","7.8","   90","   90","11.2","16.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-22",," 1538","0.5",,,,"28.3","21.7","  210","  180","11.2","16.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-23","5.6"," 1249","0.5",,,,"24.4","17.8","  300","  300","10.7","15.2",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-24","3.9"," 2318","2.8",,,,"25.6","13.3","  110","  210","8.9","12.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-25","5.1"," 0955","0.0",,,,"28.3","22.2","  240","  240","10.7","17.0",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-26","3.0"," 0234","0.3",,,,"25.0","13.3","  250","  250","6.7","10.7",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-27","3.5"," 1343","32.5",,,,"24.4","12.8","  280","  280","9.4","13.0","    1",,"    1",,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-28","4.1"," 1458","18.8",,,,"21.7","11.1","   20","   30","12.5","17.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-29","3.2"," 0334","2.0",,,,"23.3","11.1","  350","  350","9.8","14.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-30","2.6"," 0354","3.3",,,,"26.7","16.1","   70","  300","7.6","11.2",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-31","4.4"," 1405","0.0",,,,"28.3","16.1","  250","  250","8.9","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-06-01","3.7"," 1646","0.8",,,,"27.8","12.2","   10","   20","14.3","18.8",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-06-02","3.9"," 1140","0.0",,,,"20.6","11.7","   60","   60","9.8","13.4",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-06-03","3.7"," 0724","0.0",,,,"20.0","10.6","   70","   70","5.8","8.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-06-04","4.5"," 1432","4.1",,,,"28.3","15.6","  200","  180","9.8","14.8",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-06-05","4.1"," 0109","9.7",,,,"30.0","15.6","  250","  270","8.9","13.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-06-06","2.9"," 1650","0.0",,,,"24.4","13.9","   90","   80","5.8","8.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-06-07","4.3"," 1927","0.0",,,,"26.7","13.9","   30","   30","8.9","10.7",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-06-08","4.7"," 1324","0.0",,,,"26.1","15.6","   70","   60","8.1","10.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-06-09","2.8"," 0034","0.8",,,,"22.8","18.3","   70","   70","5.8","7.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-06-10","5.8"," 1337","0.0",,,,"24.4","16.1","  340","  330","11.6","16.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-06-11","4.0"," 2345","0.0",,,,"27.8","14.4","  190","  190","7.2","10.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-06-12","4.6"," 2353","17.8",,,,"23.3","12.8","  320","  320","10.3","13.4",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-06-13","6.7"," 0200","0.5",,,,"20.6","11.1","  340","  350","11.2","16.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-06-14","6.2"," 1553","1.0",,,,"27.2","11.1","  220","  220","11.6","17.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-06-15","3.8"," 0523","5.1",,,,"21.7","13.9","  200","  210","8.1","13.0",,,,,,
